time,operating_hours,fuel_consumption(liter),engine_id
2018-03-17,3968,2961.5,3308150982
2018-03-18,3968,2961.5,3308150982
2018-03-19,3968,2961.5,3308150982
2018-03-20,3968,2961.5,3308150982
2018-03-21,3968,2961.5,3308150982
2018-03-22,3968,2961.5,3308150982
2018-03-23,3968,2961.5,3308150982
2018-03-24,3968,2961.5,3308150982
2018-03-25,3968,2961.5,3308150982
2018-03-26,3968,2961.5,3308150982
2018-03-27,3968,2961.5,3308150982
2018-03-28,3968,2961.5,3308150982
2018-03-29,3968,2961.5,3308150982
2017-12-20,617,3056,8711753003
2017-12-21,617,3056,8711753003
2017-12-22,617,3056,8711753003
2017-12-23,617,3056,8711753003
2017-12-24,617,3056,8711753003
2017-12-25,617,3056,8711753003
2017-12-26,617,3056,8711753003
2017-12-27,617,3056,8711753003
2017-12-28,617,3056,8711753003
2017-12-29,617,3056,8711753003
2017-12-30,617,3056,8711753003
2017-12-31,617,3056,8711753003
2018-01-01,617,3056,8711753003
2018-01-02,617,3056,8711753003
2018-01-03,620,3074.5,8711753003
2018-01-04,621,3089,8711753003
2018-01-05,621,3089.5,8711753003
2018-01-06,621,3089.5,8711753003
2018-01-07,621,3089.5,8711753003
2018-01-08,622,3108,8711753003
2018-01-09,623,3112.5,8711753003
2018-01-10,625,3139,8711753003
2018-01-11,626,3155,8711753003
2018-01-12,627,3169,8711753003
2018-01-13,627,3169,8711753003
2018-01-14,628,3172.5,8711753003
2018-01-15,629,3186,8711753003
2018-01-16,629,3186,8711753003
2018-01-17,631,3194,8711753003
2018-01-18,631,3202,8711753003
2018-01-19,632,3208.5,8711753003
2018-01-20,633,3216,8711753003
2018-01-21,634,3224.5,8711753003
2018-01-22,635,3236,8711753003
2018-01-23,638,3268.5,8711753003
2018-01-24,639,3277,8711753003
2018-01-25,639,3277,8711753003
2018-01-26,639,3277,8711753003
2018-01-27,639,3277,8711753003
2018-01-28,642,3296.5,8711753003
2018-01-29,642,3300.5,8711753003
2018-01-30,642,3300.5,8711753003
2018-01-31,645,3330.5,8711753003
2018-02-01,645,3330.5,8711753003
2018-02-02,645,3330.5,8711753003
2018-02-03,645,3330.5,8711753003
2018-02-04,645,3330.5,8711753003
2018-02-05,645,3330.5,8711753003
2018-02-06,645,3330.5,8711753003
2018-02-07,645,3330.5,8711753003
2018-02-08,645,3330.5,8711753003
2018-02-09,645,3330.5,8711753003
2018-02-10,645,3330.5,8711753003
2018-02-11,645,3330.5,8711753003
2018-02-12,645,3330.5,8711753003
2018-02-13,645,3330.5,8711753003
2018-02-14,645,3330.5,8711753003
2018-02-15,645,3330.5,8711753003
2018-02-16,645,3330.5,8711753003
2018-02-17,645,3330.5,8711753003
2018-02-18,645,3330.5,8711753003
2018-02-19,645,3330.5,8711753003
2018-02-20,645,3330.5,8711753003
2018-02-21,645,3330.5,8711753003
2018-02-22,645,3330.5,8711753003
2018-02-23,645,3330.5,8711753003
2018-02-24,645,3330.5,8711753003
2018-02-25,645,3330.5,8711753003
2018-02-26,645,3330.5,8711753003
2018-02-27,645,3330.5,8711753003
2018-02-28,645,3330.5,8711753003
2018-03-01,645,3330.5,8711753003
2018-03-02,645,3330.5,8711753003
2018-03-03,645,3330.5,8711753003
2018-03-04,645,3330.5,8711753003
2018-03-05,645,3330.5,8711753003
2018-03-06,645,3330.5,8711753003
2018-03-07,645,3330.5,8711753003
2018-03-08,645,3330.5,8711753003
2018-03-09,645,3330.5,8711753003
2018-03-10,645,3330.5,8711753003
2018-03-11,645,3330.5,8711753003
2018-03-12,645,3330.5,8711753003
2018-03-13,645,3330.5,8711753003
2018-03-14,645,3330.5,8711753003
2018-03-15,645,3330.5,8711753003
2018-03-16,645,3330.5,8711753003
2018-03-17,645,3330.5,8711753003
2018-03-18,645,3330.5,8711753003
